Crop Name,N,P2O5,K2O,Water,Price,Yield,N_dec,P_dec,K_dec,Days
Onion,94.4976551083605,84.12346457960325,52.36930416872411,738.9492580122741,2724.9519468544886,14.813779229590848,71.90133399229835,68.45181534026332,48.845124826891556,108.8497839968333
Ragi,56.51473119585891,28.42449057846556,28.285859502737576,408.4162723013803,2363.9843159380475,24.090813301273187,59.4904479452323,22.885534806437175,26.801471020306543,87.94713504736787
Green Gram,45.862595075686215,24.43555924878366,14.094539486563093,385.88633162039446,3025.7975281519416,13.144199366622827,0.0,22.82653564036048,11.279233572097434,67.95814375144707
Groundnut,43.11677053806002,44.494511218250835,33.39068458169111,622.3871348837652,4037.6813607628865,15.914213564534851,0.0,41.829959473305344,24.14176994929705,106.11571682792226
Groundnut,40.87455326421545,54.40880519474305,26.972743971404675,505.00234718778677,4524.954175070146,17.03134500900667,0.0,41.03733930278802,24.834453546891613,111.47871770890823
Green Gram,32.49729291117393,21.583044652784256,14.890827151683238,409.1975699139032,3352.333627976631,14.69475964891816,0.0,23.313498221593967,10.924397780244838,69.21608525645141
Onion,88.93665025993971,70.43034700735464,54.06262911197099,738.1556018571035,2978.3969635259,16.505299346838036,93.2547242254287,67.3551377668431,48.69855934588954,138.45643879759163
Green Gram,37.54049696233076,25.832231101222323,12.066996166018846,437.3637168812961,3180.8584756282658,14.249525896343862,0.0,23.277516991806056,12.357180538210017,62.80318960588723
Green Gram,36.84296668520832,26.859278209428066,13.702974009603723,430.79090426821244,3360.463466087938,14.505642648811635,0.0,22.691928370898978,13.646234560259732,71.22887305768383
Barnyard Millet,47.18596630671386,21.437317798690326,16.274881806093525,434.43378871244454,2556.3146127228993,18.986713560736952,34.7601972511501,25.887326832962568,12.465227886606103,114.60628538022313
Cotton,78.70971430667193,52.02025428407269,71.31711540726317,813.9662250265471,4615.897675825244,34.73943929481842,60.609215885257186,44.88068756047853,56.337289175669746,199.41187379976458
Tomato,198.39825329295022,243.96549670889468,285.837887182248,829.9345281411978,1875.3102145903222,28.70082140293041,218.85711342053585,258.33090266447056,225.07053688510757,111.72966947442906
Maize,91.98172156650307,56.920078594663394,45.62082122351275,683.5395452095141,1641.4846526646415,40.30757979433829,85.55910766017006,49.15423173753879,44.485098823978156,119.60948357198917
Soybean,32.66253484324881,74.23838191593373,46.39851003570593,389.2026492369724,3449.788219629259,15.925505663572695,0.0,65.42671952772297,52.495275940677324,108.73316969089427
Sunflower,64.88110330421802,35.07654273426418,30.68237980381239,565.3571377141214,3357.006706175509,12.221560630238764,56.42935536836633,38.81456233839832,24.53653800954137,86.79543386915724
Soybean,29.14353209704101,77.45704728192165,54.269988932474504,471.5437542930185,3698.4129247754804,14.753249348757143,0.0,52.42529372924318,47.708097504371416,99.84285060147553
Groundnut,36.101273319090716,53.93542301871226,33.47578673702221,550.7590608988974,4604.617974282615,18.743005668485697,0.0,53.53556842194276,27.312913275191963,101.70890219206761
