previous_crop,next_crop,N_removed_kg_per_ha,P_removed_kg_per_ha,K_removed_kg_per_ha,expected_yield_t_ha,price_usd_ton,revenue_usd,fertilizer_cost_usd,profit_usd
Chickpea,Rice,60,14,60,5.84,350,2044.71,67.0,1977.71
Chickpea,Potato,60,14,60,27.1,200,5419.45,67.0,5352.45
Chickpea,Rice,60,14,60,4.02,350,1405.72,67.0,1338.72
Chickpea,Rice,60,14,60,5.38,350,1883.18,67.0,1816.18
Chickpea,Wheat,60,14,60,2.9,335,972.3,67.0,905.3
Wheat,Maize,80,30,90,5.03,216,1087.31,100.0,987.31
Wheat,Maize,80,30,90,5.43,216,1172.01,100.0,1072.01
Soybean,Wheat,50,20,60,2.82,335,945.81,65.0,880.81
Wheat,Maize,80,30,90,4.56,216,985.62,100.0,885.62
Soybean,Cotton,50,20,60,2.51,1800,4523.1,65.0,4458.1
Chickpea,Potato,60,14,60,21.54,200,4307.55,67.0,4240.55
Potato,Rice,150,60,200,4.25,350,1487.64,205.0,1282.64
Wheat,Rice,80,30,90,5.02,350,1755.4,100.0,1655.4
Wheat,Tomato,80,30,90,25.91,400,10362.69,100.0,10262.69
Rice,Soybean,100,40,120,1.86,450,835.61,130.0,705.61
Wheat,Chickpea,80,30,90,1.53,550,839.58,100.0,739.58
Soybean,Potato,50,20,60,17.14,200,3427.42,65.0,3362.42
Chickpea,Tomato,60,14,60,31.87,400,12749.92,67.0,12682.92
Chickpea,Potato,60,14,60,11.45,200,2289.92,67.0,2222.92
Potato,Rice,150,60,200,4.88,350,1708.32,205.0,1503.32
Maize,Potato,85,25,100,24.24,200,4847.64,105.0,4742.64
Rice,Potato,100,40,120,28.86,200,5771.06,130.0,5641.06
Cotton,Potato,120,40,200,16.29,200,3258.78,180.0,3078.78
Soybean,Rice,50,20,60,5.82,350,2038.66,65.0,1973.66
Rice,Maize,100,40,120,6.71,216,1449.87,130.0,1319.87
Tomato,Potato,200,75,300,19.98,200,3995.37,287.5,3707.87
Cotton,Rice,120,40,200,4.55,350,1594.04,180.0,1414.04
Potato,Wheat,150,60,200,4.05,335,1355.16,205.0,1150.16
Chickpea,Cotton,60,14,60,2.56,1800,4602.63,67.0,4535.63
Chickpea,Potato,60,14,60,16.65,200,3329.65,67.0,3262.65
Rice,Cotton,100,40,120,2.42,1800,4361.13,130.0,4231.13
Cotton,Soybean,120,40,200,2.71,450,1217.94,180.0,1037.94
Wheat,Rice,80,30,90,5.08,350,1779.18,100.0,1679.18
Tomato,Potato,200,75,300,15.02,200,3003.35,287.5,2715.85
Maize,Rice,85,25,100,3.97,350,1390.35,105.0,1285.35
Wheat,Tomato,80,30,90,37.46,400,14983.11,100.0,14883.11
Cotton,Wheat,120,40,200,3.14,335,1053.16,180.0,873.16
Wheat,Rice,80,30,90,5.51,350,1927.18,100.0,1827.18
Chickpea,Cotton,60,14,60,1.88,1800,3389.9,67.0,3322.9
Maize,Cotton,85,25,100,1.92,1800,3449.22,105.0,3344.22
Soybean,Chickpea,50,20,60,1.46,550,805.69,65.0,740.69
Soybean,Rice,50,20,60,4.88,350,1707.24,65.0,1642.24
