Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,2020,Whole Year,Assam,725.09,1209.48,2807.44,113458.73,317.23,1.67
Arhar/Tur,2020,Whole Year,Assam,1966.69,2680.99,2807.44,361694.78,503.44,1.36
Castor seed,2020,Whole Year,Assam,1619.8,1917.59,2807.44,188907.79,457.13,1.18
Cotton(lint),2020,Whole Year,Assam,4858.32,5101.59,2807.44,677162.2,1207.55,1.05
Dry chillies,2020,Whole Year,Assam,5616.8,7220.52,2807.44,1002826.72,2488.77,1.29
Gram,2020,Whole Year,Assam,9228.61,18911.08,2807.44,1334359.03,4567.53,2.05
Jute,2020,Whole Year,Assam,3074.88,6158.49,2807.44,336113.43,1130.49,2.0
Linseed,2020,Whole Year,Assam,6233.88,10827.12,2807.44,532480.13,2427.38,1.74
Maize,2020,Whole Year,Assam,349.12,1330.24,2807.44,58048.53,71.82,3.81
Mesta,2020,Whole Year,Assam,3888.75,6151.68,2807.44,590787.52,1172.85,1.58
Niger seed,2020,Whole Year,Assam,5954.76,7939.22,2807.44,590955.06,2034.34,1.33
Onion,2020,Whole Year,Assam,2334.94,5112.01,2807.44,356834.34,1084.17,2.19
Other Rabi pulses,2020,Whole Year,Assam,5787.64,14158.61,2807.44,1021020.92,1721.64,2.45
Potato,2020,Whole Year,Assam,4079.48,116861.83,2807.44,674456.6,1700.13,28.65
Rapeseed &Mustard,2020,Whole Year,Assam,1001.71,1468.89,2807.44,171489.25,323.41,1.47
Rice,2020,Whole Year,Assam,1282.6,3286.73,2807.44,207602.81,533.92,2.56
Sesamum,2020,Whole Year,Assam,5674.59,5505.42,2807.44,902461.88,2551.97,0.97
Small millets,2020,Whole Year,Assam,5974.12,7015.31,2807.44,684146.75,2644.5,1.17
Sugarcane,2020,Whole Year,Assam,6605.59,358093.95,2807.44,739103.72,2097.52,54.21
Sweet potato,2020,Whole Year,Assam,2183.34,2371.17,2807.44,177406.22,439.03,1.09
Tapioca,2020,Whole Year,Assam,4898.1,9309.86,2807.44,625067.3,2358.61,1.9
Tobacco,2020,Whole Year,Assam,6526.66,12515.29,2807.44,1098981.91,3038.37,1.92
Turmeric,2020,Whole Year,Assam,6454.58,7376.96,2807.44,767117.04,3112.94,1.14
Wheat,2020,Whole Year,Assam,6645.82,31185.96,2807.44,1299734.42,3130.96,4.69
Bajra,2020,Whole Year,Assam,3254.07,2818.83,2807.44,537062.77,713.95,0.87
Black pepper,2020,Whole Year,Assam,5330.51,5448.98,2807.44,626780.64,2267.43,1.02
Cardamom,2020,Whole Year,Assam,9760.45,12440.66,2807.44,1431248.2,3354.71,1.27
Coriander,2020,Whole Year,Assam,501.09,702.65,2807.44,81600.07,247.19,1.4
Garlic,2020,Whole Year,Assam,9077.61,18486.69,2807.44,1728386.64,1870.15,2.04
Ginger,2020,Whole Year,Assam,1077.6,1737.32,2807.44,175134.86,476.1,1.61
Groundnut,2020,Whole Year,Assam,9603.55,9212.45,2807.44,1100195.32,4203.52,0.96
Horse-gram,2020,Whole Year,Assam,8209.76,6333.69,2807.44,1542417.82,3883.53,0.77
Jowar,2020,Whole Year,Assam,1772.23,3251.06,2807.44,307953.1,533.69,1.83
Ragi,2020,Whole Year,Assam,7521.14,14254.3,2807.44,956284.5,2884.44,1.9
Cashewnut,2020,Whole Year,Assam,9941.55,15906.63,2807.44,1912104.64,2714.3,1.6
Banana,2020,Whole Year,Assam,9473.58,493565.83,2807.44,1007808.8,4733.65,52.1
Soyabean,2020,Whole Year,Assam,7712.91,9590.66,2807.44,694349.25,2089.12,1.24
Barley,2020,Whole Year,Assam,1124.03,822.06,2807.44,158879.11,440.93,0.73
Khesari,2020,Whole Year,Assam,4491.64,10687.61,2807.44,723007.21,1876.96,2.38
Masoor,2020,Whole Year,Assam,7626.73,18853.83,2807.44,640264.01,3489.0,2.47
Moong(Green Gram),2020,Whole Year,Assam,1858.48,4091.15,2807.44,149813.6,605.48,2.2
Other Kharif pulses,2020,Whole Year,Assam,8676.51,7981.05,2807.44,1449767.9,2803.56,0.92
Safflower,2020,Whole Year,Assam,9245.12,17228.94,2807.44,1080816.19,2282.33,1.86
Sannhamp,2020,Whole Year,Assam,6917.5,11779.79,2807.44,1229132.52,2684.81,1.7
Sunflower,2020,Whole Year,Assam,4476.84,6569.09,2807.44,612426.55,1040.97,1.47
Urad,2020,Whole Year,Assam,3217.7,7651.41,2807.44,267270.61,1497.79,2.38
Peas & beans (Pulses),2020,Whole Year,Assam,8980.25,8689.16,2807.44,1102575.1,3489.91,0.97
other oilseeds,2020,Whole Year,Assam,6051.23,8340.58,2807.44,763780.09,2566.74,1.38
Other Cereals,2020,Whole Year,Assam,524.66,567.32,2807.44,78822.07,145.14,1.08
Cowpea(Lobia),2020,Whole Year,Assam,5227.41,8737.21,2807.44,1037745.62,1433.42,1.67
Oilseeds total,2020,Whole Year,Assam,5315.01,8514.5,2807.44,933821.98,1416.5,1.6
Guar seed,2020,Whole Year,Assam,1517.76,3600.36,2807.44,211832.52,365.86,2.37
Other Summer Pulses,2020,Whole Year,Assam,3578.32,4936.94,2807.44,479719.2,873.84,1.38
Moth,2020,Whole Year,Assam,9684.56,16377.5,2807.44,993776.39,3074.43,1.69
Cotton(lint),2020,Kharif,Assam,8740.25,20250.87,2807.44,1108126.76,3640.94,2.32
Maize,2020,Kharif,Assam,5709.1,38968.13,2807.44,504985.37,2599.22,6.83
Rice,2020,Kharif,Assam,5503.16,38871.68,2807.44,902460.48,1273.17,7.06
Groundnut,2020,Kharif,Assam,1915.67,1901.85,2807.44,274654.18,856.54,0.99
Soyabean,2020,Kharif,Assam,5175.39,9806.36,2807.44,757333.86,1674.62,1.89
Gram,2020,Rabi,Assam,4879.72,5980.16,2807.44,723275.58,1465.6,1.23
Potato,2020,Rabi,Assam,4931.3,334134.93,2807.44,830780.65,1030.5,67.76
Rapeseed &Mustard,2020,Rabi,Assam,6358.33,6135.13,2807.44,557014.95,2318.35,0.96
Wheat,2020,Rabi,Assam,7970.61,57858.17,2807.44,987554.9,1850.79,7.26
Arecanut,2020,Autumn,Assam,9035.06,8540.23,2807.44,783176.23,3121.61,0.95
Arhar/Tur,2020,Autumn,Assam,2600.95,2915.2,2807.44,338788.36,876.18,1.12
Castor seed,2020,Autumn,Assam,2770.76,5520.96,2807.44,310620.45,642.73,1.99
Cotton(lint),2020,Autumn,Assam,2429.01,6014.79,2807.44,323838.68,1203.84,2.48
Dry chillies,2020,Autumn,Assam,9918.29,19309.5,2807.44,1832094.89,4503.09,1.95
Gram,2020,Autumn,Assam,9290.36,9258.03,2807.44,811363.99,4351.43,1.0
Jute,2020,Autumn,Assam,1374.0,2006.89,2807.44,230113.55,537.22,1.46
Linseed,2020,Autumn,Assam,6141.13,11779.86,2807.44,557453.77,1354.63,1.92
Maize,2020,Autumn,Assam,5934.93,23667.21,2807.44,759258.72,1463.57,3.99
Mesta,2020,Autumn,Assam,2241.53,4505.2,2807.44,184890.3,966.98,2.01
Niger seed,2020,Autumn,Assam,7187.81,7421.74,2807.44,1393942.55,2496.87,1.03
Onion,2020,Autumn,Assam,5440.9,7315.77,2807.44,545264.93,2638.79,1.34
Other Rabi pulses,2020,Autumn,Assam,2913.53,4097.83,2807.44,319579.7,1074.39,1.41
Potato,2020,Autumn,Assam,4836.04,319745.21,2807.44,901518.21,2122.26,66.12
Rapeseed &Mustard,2020,Autumn,Assam,6719.27,9330.45,2807.44,1309070.3,2915.62,1.39
Rice,2020,Autumn,Assam,8725.47,20536.23,2807.44,1111671.49,4346.13,2.35
Sesamum,2020,Autumn,Assam,9341.46,17354.01,2807.44,1599435.69,3171.13,1.86
Small millets,2020,Autumn,Assam,808.69,1713.3,2807.44,99310.92,266.9,2.12
Sugarcane,2020,Autumn,Assam,4770.98,235232.19,2807.44,892098.09,1519.84,49.3
Sweet potato,2020,Autumn,Assam,1334.17,1270.04,2807.44,254392.26,335.42,0.95
Tapioca,2020,Autumn,Assam,4109.06,7669.47,2807.44,406823.87,1384.28,1.87
Tobacco,2020,Autumn,Assam,4378.82,9650.29,2807.44,624163.86,1753.46,2.2
Turmeric,2020,Autumn,Assam,2598.67,2057.27,2807.44,374797.07,1135.57,0.79
Wheat,2020,Autumn,Assam,7043.44,20253.44,2807.44,690653.18,1918.11,2.88
Bajra,2020,Autumn,Assam,3448.48,4875.65,2807.44,579899.74,1279.67,1.41
Black pepper,2020,Autumn,Assam,8226.22,13425.7,2807.44,926981.11,2540.81,1.63
Cardamom,2020,Autumn,Assam,3246.38,2621.33,2807.44,457290.63,1291.83,0.81
Coriander,2020,Autumn,Assam,1853.8,1689.25,2807.44,200545.61,857.99,0.91
Garlic,2020,Autumn,Assam,2101.2,3008.43,2807.44,194618.38,447.33,1.43
Ginger,2020,Autumn,Assam,338.64,295.16,2807.44,31621.5,121.12,0.87
Groundnut,2020,Autumn,Assam,667.75,1106.17,2807.44,89415.89,196.41,1.66
Horse-gram,2020,Autumn,Assam,6824.85,14642.4,2807.44,1300148.38,2314.21,2.15
Jowar,2020,Autumn,Assam,2340.7,3203.97,2807.44,440091.39,723.19,1.37
Ragi,2020,Autumn,Assam,9112.0,21217.11,2807.44,1414559.45,4232.36,2.33
Cashewnut,2020,Autumn,Assam,8698.99,13274.57,2807.44,1112364.98,2379.64,1.53
Banana,2020,Autumn,Assam,2903.39,127885.08,2807.44,305999.4,1312.94,44.05
Soyabean,2020,Autumn,Assam,3237.61,2810.39,2807.44,313205.79,1521.66,0.87
Barley,2020,Autumn,Assam,1750.42,3050.39,2807.44,331749.83,471.61,1.74
Khesari,2020,Autumn,Assam,6456.15,10633.82,2807.44,540646.24,2378.32,1.65
Masoor,2020,Autumn,Assam,6491.24,16716.44,2807.44,1269783.58,2072.3,2.58
Moong(Green Gram),2020,Autumn,Assam,5832.01,14078.63,2807.44,889552.23,2235.73,2.41
Other Kharif pulses,2020,Autumn,Assam,7209.78,10129.01,2807.44,1222943.16,1998.33,1.4
Safflower,2020,Autumn,Assam,8136.49,8339.9,2807.44,1612451.08,3881.14,1.02
Sannhamp,2020,Autumn,Assam,8585.65,7703.04,2807.44,965123.86,1900.0,0.9
Sunflower,2020,Autumn,Assam,9865.47,25715.72,2807.44,1476572.61,4905.93,2.61
Urad,2020,Autumn,Assam,5593.55,5871.2,2807.44,1094282.1,2068.37,1.05
Peas & beans (Pulses),2020,Autumn,Assam,2860.39,3021.9,2807.44,254349.42,812.27,1.06
other oilseeds,2020,Autumn,Assam,3869.32,8343.91,2807.44,366878.12,1639.9,2.16
Other Cereals,2020,Autumn,Assam,6289.65,13457.72,2807.44,1069614.03,2514.12,2.14
Cowpea(Lobia),2020,Autumn,Assam,5337.21,7295.15,2807.44,905176.23,2123.59,1.37
